attempt 1

iteration: 22, cost: 0.8745039859133847, accuracy: 0.3791208791208791, bad points: 364
iteration: 23, cost: 0.8744062767911607, accuracy: 0.38186813186813184, bad points: 364
iteration: 24, cost: 0.8743596380405446, accuracy: 0.38186813186813184, bad points: 364
iteration: 25, cost: 0.8742063874594034, accuracy: 0.3873626373626374, bad points: 364
iteration: 26, cost: 0.8740622412736601, accuracy: 0.37637362637362637, bad points: 364
iteration: 27, cost: 0.8737602801225063, accuracy: 0.3873626373626374, bad points: 364
iteration: 28, cost: 0.8736819254167687, accuracy: 0.38461538461538464, bad points: 364
iteration: 29, cost: 0.8735943537979128, accuracy: 0.3873626373626374, bad points: 364
iteration: 30, cost: 0.87352122608133, accuracy: 0.38461538461538464, bad points: 364
iteration: 31, cost: 0.8734323853430023, accuracy: 0.3901098901098901, bad points: 364
iteration: 32, cost: 0.8733771014786034, accuracy: 0.39285714285714285, bad points: 364
iteration: 33, cost: 0.8732800989634327, accuracy: 0.3956043956043956, bad points: 364
iteration: 34, cost: 0.8732242119676634, accuracy: 0.3956043956043956, bad points: 364
iteration: 35, cost: 0.8731408959899198, accuracy: 0.3983516483516483, bad points: 364
iteration: 36, cost: 0.8730795985342261, accuracy: 0.3983516483516483, bad points: 364
iteration: 37, cost: 0.8729960014698965, accuracy: 0.4010989010989011, bad points: 364
iteration: 38, cost: 0.872938807147925, accuracy: 0.4010989010989011, bad points: 364
iteration: 39, cost: 0.8728604519163405, accuracy: 0.4010989010989011, bad points: 364
iteration: 40, cost: 0.8728015443086375, accuracy: 0.3983516483516483, bad points: 364
